fecha,sku,categoria,sector,demanda_real,precio_unitario,ingresos,stock_disponible,quiebre_stock,campaña,producto
2021-01-01,CARTON_CORR_1,Cartón Corrugado,Alimentos,191,0.5,95.75,1835,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-02,CARTON_CORR_1,Cartón Corrugado,Alimentos,95,0.5,47.31,1580,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-03,CARTON_CORR_1,Cartón Corrugado,Alimentos,123,0.5,61.41,1763,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-04,CARTON_CORR_1,Cartón Corrugado,Alimentos,198,0.5,99.11,1907,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-05,CARTON_CORR_1,Cartón Corrugado,Alimentos,187,0.5,93.51,1878,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-06,CARTON_CORR_1,Cartón Corrugado,Alimentos,194,0.5,97.14,1133,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-07,CARTON_CORR_1,Cartón Corrugado,Alimentos,190,0.5,95.13,1744,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-08,CARTON_CORR_1,Cartón Corrugado,Alimentos,140,0.5,69.75,1074,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-09,CARTON_CORR_1,Cartón Corrugado,Alimentos,95,0.5,47.61,1895,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-10,CARTON_CORR_1,Cartón Corrugado,Alimentos,121,0.5,60.74,1153,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-11,CARTON_CORR_1,Cartón Corrugado,Alimentos,183,0.5,91.56,936,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-12,CARTON_CORR_1,Cartón Corrugado,Alimentos,148,0.5,73.84,1249,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-13,CARTON_CORR_1,Cartón Corrugado,Alimentos,190,0.5,94.95,997,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-14,CARTON_CORR_1,Cartón Corrugado,Alimentos,166,0.5,83.13,1224,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-15,CARTON_CORR_1,Cartón Corrugado,Alimentos,148,0.5,74.23,1307,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-16,CARTON_CORR_1,Cartón Corrugado,Alimentos,94,0.5,47.18,567,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-17,CARTON_CORR_1,Cartón Corrugado,Alimentos,97,0.5,48.7,1898,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-18,CARTON_CORR_1,Cartón Corrugado,Alimentos,235,0.5,117.46,805,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-19,CARTON_CORR_1,Cartón Corrugado,Alimentos,230,0.5,114.75,506,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-20,CARTON_CORR_1,Cartón Corrugado,Alimentos,271,0.5,135.39,915,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-21,CARTON_CORR_1,Cartón Corrugado,Alimentos,239,0.5,119.52,1295,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-22,CARTON_CORR_1,Cartón Corrugado,Alimentos,226,0.5,112.88,1233,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-23,CARTON_CORR_1,Cartón Corrugado,Alimentos,128,0.5,64.04,1130,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-24,CARTON_CORR_1,Cartón Corrugado,Alimentos,132,0.5,65.8,1240,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-25,CARTON_CORR_1,Cartón Corrugado,Alimentos,244,0.5,121.87,530,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-26,CARTON_CORR_1,Cartón Corrugado,Alimentos,237,0.5,118.64,1980,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-27,CARTON_CORR_1,Cartón Corrugado,Alimentos,235,0.5,117.5,1937,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-28,CARTON_CORR_1,Cartón Corrugado,Alimentos,222,0.5,110.86,1993,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-29,CARTON_CORR_1,Cartón Corrugado,Alimentos,216,0.5,108.11,679,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-30,CARTON_CORR_1,Cartón Corrugado,Alimentos,159,0.5,79.52,1076,0,0,Cartón Corrugado - CARTON_CORR_1
2021-01-31,CARTON_CORR_1,Cartón Corrugado,Alimentos,168,0.5,84.01,1538,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-01,CARTON_CORR_1,Cartón Corrugado,Alimentos,186,0.5,93.19,1774,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-02,CARTON_CORR_1,Cartón Corrugado,Alimentos,169,0.5,84.33,542,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-03,CARTON_CORR_1,Cartón Corrugado,Alimentos,165,0.5,82.63,1165,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-04,CARTON_CORR_1,Cartón Corrugado,Alimentos,120,0.5,60.0,1957,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-05,CARTON_CORR_1,Cartón Corrugado,Alimentos,188,0.5,94.15,1777,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-06,CARTON_CORR_1,Cartón Corrugado,Alimentos,154,0.5,76.85,1224,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-07,CARTON_CORR_1,Cartón Corrugado,Alimentos,148,0.5,74.2,1185,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-08,CARTON_CORR_1,Cartón Corrugado,Alimentos,195,0.5,97.29,1701,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-09,CARTON_CORR_1,Cartón Corrugado,Alimentos,171,0.5,85.46,1780,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-10,CARTON_CORR_1,Cartón Corrugado,Alimentos,186,0.5,92.79,1484,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-11,CARTON_CORR_1,Cartón Corrugado,Alimentos,198,0.5,98.92,1694,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-12,CARTON_CORR_1,Cartón Corrugado,Alimentos,183,0.5,91.39,886,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-13,CARTON_CORR_1,Cartón Corrugado,Alimentos,124,0.5,62.11,632,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-14,CARTON_CORR_1,Cartón Corrugado,Alimentos,138,0.5,69.22,1674,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-15,CARTON_CORR_1,Cartón Corrugado,Alimentos,173,0.5,86.62,1260,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-16,CARTON_CORR_1,Cartón Corrugado,Alimentos,234,0.5,117.23,1346,0,1,Cartón Corrugado - CARTON_CORR_1
2021-02-17,CARTON_CORR_1,Cartón Corrugado,Alimentos,145,0.5,72.4,782,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-18,CARTON_CORR_1,Cartón Corrugado,Alimentos,163,0.5,81.57,1704,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-19,CARTON_CORR_1,Cartón Corrugado,Alimentos,149,0.5,74.65,966,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-20,CARTON_CORR_1,Cartón Corrugado,Alimentos,109,0.5,54.72,681,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-21,CARTON_CORR_1,Cartón Corrugado,Alimentos,111,0.5,55.58,1133,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-22,CARTON_CORR_1,Cartón Corrugado,Alimentos,178,0.5,89.07,533,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-23,CARTON_CORR_1,Cartón Corrugado,Alimentos,159,0.5,79.35,1094,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-24,CARTON_CORR_1,Cartón Corrugado,Alimentos,171,0.5,85.64,762,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-25,CARTON_CORR_1,Cartón Corrugado,Alimentos,196,0.5,97.75,1292,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-26,CARTON_CORR_1,Cartón Corrugado,Alimentos,195,0.5,97.69,914,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-27,CARTON_CORR_1,Cartón Corrugado,Alimentos,93,0.5,46.49,762,0,0,Cartón Corrugado - CARTON_CORR_1
2021-02-28,CARTON_CORR_1,Cartón Corrugado,Alimentos,112,0.5,56.15,1584,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-01,CARTON_CORR_1,Cartón Corrugado,Alimentos,170,0.5,84.86,1615,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-02,CARTON_CORR_1,Cartón Corrugado,Alimentos,150,0.5,75.11,981,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-03,CARTON_CORR_1,Cartón Corrugado,Alimentos,173,0.5,86.69,805,0,1,Cartón Corrugado - CARTON_CORR_1
2021-03-04,CARTON_CORR_1,Cartón Corrugado,Alimentos,149,0.5,74.61,1017,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-05,CARTON_CORR_1,Cartón Corrugado,Alimentos,228,0.5,113.9,517,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-06,CARTON_CORR_1,Cartón Corrugado,Alimentos,118,0.5,58.8,1672,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-07,CARTON_CORR_1,Cartón Corrugado,Alimentos,111,0.5,55.62,959,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-08,CARTON_CORR_1,Cartón Corrugado,Alimentos,167,0.5,83.58,1306,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-09,CARTON_CORR_1,Cartón Corrugado,Alimentos,207,0.5,103.43,739,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-10,CARTON_CORR_1,Cartón Corrugado,Alimentos,187,0.5,93.7,1285,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-11,CARTON_CORR_1,Cartón Corrugado,Alimentos,239,0.5,119.7,584,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-12,CARTON_CORR_1,Cartón Corrugado,Alimentos,214,0.5,106.92,764,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-13,CARTON_CORR_1,Cartón Corrugado,Alimentos,135,0.5,67.51,1290,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-14,CARTON_CORR_1,Cartón Corrugado,Alimentos,132,0.5,66.14,1776,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-15,CARTON_CORR_1,Cartón Corrugado,Alimentos,189,0.5,94.53,1380,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-16,CARTON_CORR_1,Cartón Corrugado,Alimentos,232,0.5,116.03,1077,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-17,CARTON_CORR_1,Cartón Corrugado,Alimentos,186,0.5,93.03,1783,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-18,CARTON_CORR_1,Cartón Corrugado,Alimentos,181,0.5,90.54,1947,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-19,CARTON_CORR_1,Cartón Corrugado,Alimentos,194,0.5,96.93,1409,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-20,CARTON_CORR_1,Cartón Corrugado,Alimentos,132,0.5,65.84,1255,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-21,CARTON_CORR_1,Cartón Corrugado,Alimentos,132,0.5,65.99,947,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-22,CARTON_CORR_1,Cartón Corrugado,Alimentos,224,0.5,112.17,882,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-23,CARTON_CORR_1,Cartón Corrugado,Alimentos,192,0.5,95.95,858,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-24,CARTON_CORR_1,Cartón Corrugado,Alimentos,164,0.5,81.78,984,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-25,CARTON_CORR_1,Cartón Corrugado,Alimentos,144,0.5,72.19,1569,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-26,CARTON_CORR_1,Cartón Corrugado,Alimentos,185,0.5,92.27,1665,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-27,CARTON_CORR_1,Cartón Corrugado,Alimentos,104,0.5,52.21,1315,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-28,CARTON_CORR_1,Cartón Corrugado,Alimentos,117,0.5,58.49,1587,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-29,CARTON_CORR_1,Cartón Corrugado,Alimentos,79,0.5,39.31,1404,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-30,CARTON_CORR_1,Cartón Corrugado,Alimentos,175,0.5,87.35,1136,0,0,Cartón Corrugado - CARTON_CORR_1
2021-03-31,CARTON_CORR_1,Cartón Corrugado,Alimentos,191,0.5,95.34,1386,0,0,Cartón Corrugado - CARTON_CORR_1
2021-04-01,CARTON_CORR_1,Cartón Corrugado,Alimentos,184,0.5,92.17,1887,0,0,Cartón Corrugado - CARTON_CORR_1
2021-04-02,CARTON_CORR_1,Cartón Corrugado,Alimentos,218,0.5,108.8,1123,0,0,Cartón Corrugado - CARTON_CORR_1
2021-04-03,CARTON_CORR_1,Cartón Corrugado,Alimentos,171,0.5,85.66,529,0,0,Cartón Corrugado - CARTON_CORR_1
2021-04-04,CARTON_CORR_1,Cartón Corrugado,Alimentos,164,0.5,82.05,1997,0,0,Cartón Corrugado - CARTON_CORR_1
2021-04-05,CARTON_CORR_1,Cartón Corrugado,Alimentos,276,0.5,137.85,1003,0,0,Cartón Corrugado - CARTON_CORR_1
2021-04-06,CARTON_CORR_1,Cartón Corrugado,Alimentos,267,0.5,133.74,1526,0,0,Cartón Corrugado - CARTON_CORR_1
2021-04-07,CARTON_CORR_1,Cartón Corrugado,Alimentos,281,0.5,140.66,744,0,0,Cartón Corrugado - CARTON_CORR_1
2021-04-08,CARTON_CORR_1,Cartón Corrugado,Alimentos,258,0.5,129.21,996,0,0,Cartón Corrugado - CARTON_CORR_1
2021-04-09,CARTON_CORR_1,Cartón Corrugado,Alimentos,240,0.5,120.13,1831,0,0,Cartón Corrugado - CARTON_CORR_1
2021-04-10,CARTON_CORR_1,Cartón Corrugado,Alimentos,141,0.5,70.38,1708,0,0,Cartón Corrugado - CARTON_CORR_1
2021-04-11,CARTON_CORR_1,Cartón Corrugado,Alimentos,139,0.5,69.57,1218,0,0,Cartón Corrugado - CARTON_CORR_1
2021-04-12,CARTON_CORR_1,Cartón Corrugado,Alimentos,176,0.5,87.87,875,0,0,Cartón Corrugado - CARTON_CORR_1
2021-04-13,CARTON_CORR_1,Cartón Corrugado,Alimentos,155,0.5,77.46,563,0,0,Cartón Corrugado - CARTON_CORR_1
